,기업명,휴폐업발생일자,휴폐업1년전날짜
3330,"""후지유통(주)창원점""",2021.04.05,2020.04.05
3331,"""후지유통(주)양산점""",2020.12.31,2019.12.31
3332,"""창원관광개발(주)구미센츄리호텔""",2022.05.31,2021.05.31
3333,"""어부의집""",2022.07.04,2021.07.04
3334,"""오콘디보빌리지하월곡점""",2019.03.29,2018.03.29
3335,"""송이축산유통""",2020.07.01,2019.07.01
3336,"""놀부부대찌개앤철판구이""",2022.06.02,2021.06.02
3337,"""문학동네꼼마앤브레드""",2021.01.31,2020.01.31
3338,"""후지유통(주)안양점""",2020.06.30,2019.06.30
3339,"""케이에이치스포츠유성점""",2021.09.29,2020.09.29
3340,"""경주테디베어뮤지엄""",2019.12.02,2018.12.02
3341,"""미스터피자발산점""",2021.09.30,2020.09.30
3342,"""디에이치이비즈""",2021.12.31,2020.12.31
3343,"""후지유통(주)용산점""",2020.09.30,2019.09.30
3344,"""도미노피자수지점""",2019.09.01,2018.09.01
3345,"""쏠리드문정점""",2020.12.31,2019.12.31
3346,"""가야호텔(중원대지점)""",2021.04.15,2020.04.15
3347,"""신화푸드송도천지연""",2021.01.31,2020.01.31
3348,"""뱅뱅어패럴매장본점""",2020.09.30,2019.09.30
3349,"""후지유통(주)만촌점""",2021.03.31,2020.03.31
3350,"""시몬느아트센터""",2021.06.30,2020.06.30
3351,"""재원푸드영등포타임스퀘어점""",2019.06.30,2018.06.30
3352,"""씨스페이스주안일이점""",2022.03.31,2021.03.31
3353,"""아이비김영신촌피엠에스""",2020.09.23,2019.09.23
3354,"""지씨엠스포츠증평지점""",2021.03.31,2020.03.31
3355,"""풋마트코리아대전둔산점""",2021.09.30,2020.09.30
3356,"""한솥도시락부산역앞점""",2020.10.31,2019.10.31
3357,"""후지유통(주)도농점""",2020.09.30,2019.09.30
3358,"""광신개발(주)직영우성엘피지로트""",2021.03.31,2020.03.31
3359,"""후지유통(주)죽전점""",2020.09.30,2019.09.30
3360,"""한신포차""",2020.03.20,2019.03.20
3361,"""위니비니울산업스퀘어점""",2021.09.28,2020.09.28
3362,"""씨스페이시스용현소망""",2021.10.31,2020.10.31
3363,"""비에프에이양산점""",2020.12.29,2019.12.29
3364,"""아이비김영미대편입창조""",2020.09.23,2019.09.23
3365,"""아이비김영수원지점""",2020.09.23,2019.09.23
3366,"""후지유통(주)천안점""",2020.12.31,2019.12.31
3367,"""신포우리만두(진주직영점)""",2019.11.16,2018.11.16
3368,"""메이데이""",2019.01.31,2018.01.31
3369,"""러쉬코리아명동일가점""",2021.09.30,2020.09.30
3370,"""소모석유뉴양주주유소""",2022.02.28,2021.02.28
3371,"""카페마마스타임스퀘어점""",2021.06.30,2020.06.30
3372,"""프리미어모터스(주)평촌지점""",2018.12.31,2017.12.31
3373,"""프리미어모터스(주)평촌지점""",2018.12.31,2017.12.31
3374,"""카페마마스강남역지점""",2021.06.30,2020.06.30
3375,"""유진텍코퍼레이션(제주)""",2020.07.24,2019.07.24
3376,"""대화물류성내지점""",2020.04.29,2019.04.29
3377,"""엘에프네트웍스구로점""",2020.01.31,2019.01.31
3378,"""미스터피자서판교점""",2020.02.29,2019.02.28
3379,"""다비치안경체인광주지점""",2022.01.10,2021.01.10
3380,"""마라톤가스""",2019.07.31,2018.07.31
3381,"""트라이브랜즈천안상설점""",2022.03.31,2021.03.31
3382,"""후지유통(주)연수점""",2020.06.30,2019.06.30
3383,"""마노핀익스프레스사당역점""",2020.06.30,2019.06.30
3384,"""카페마마스센터원지점""",2021.06.30,2020.06.30
3385,"""소모석유우정주유소""",2022.07.31,2021.07.31
3386,"""비와이씨마트전주지점""",2021.11.30,2020.11.30
3387,"""띠아모코리아성남아트센터점""",2020.12.31,2019.12.31
3388,"""마노핀익스프레스선릉역점""",2020.06.30,2019.06.30
3389,"""브레댄코대치점""",2019.05.19,2018.05.19
3390,"""뱅뱅어패럴신림점""",2022.06.30,2021.06.30
3391,"""후지유통(주)목포점""",2020.03.31,2019.03.31
3392,"""칠곡스포츠진주오에프에스지점""",2019.03.31,2018.03.31
3393,"""씨스페이시스잠실점""",2021.10.31,2020.10.31
3394,"""씨스페이스대흥상아점""",2022.02.28,2021.02.28
3395,"""동학식품경기광주점""",2021.03.30,2020.03.30
3396,"""세븐스프링스잠원점""",2020.05.07,2019.05.07
3397,"""에스원에너지(주)금강주유소""",2020.04.29,2019.04.29
3398,"""동북쇼핑현리점""",2018.12.31,2017.12.31
3399,"""온더보더일산원마운트점""",2021.07.23,2020.07.23
3400,"""러쉬코리아강남점""",2018.03.01,2017.03.01
3401,"""후지유통(주)부천역사""",2021.03.31,2020.03.31
3402,"""소모석유뉴오남주유소""",2019.01.31,2018.01.31
3403,"""동일유업(주)모현충전소""",2020.06.04,2019.06.04
3404,"""엔에스에프가로수길""",2021.03.31,2020.03.31
3405,"""브레댄코서울성모병원점""",2019.08.31,2018.08.31
3406,"""인석해운대지점""",2019.12.30,2018.12.30
3407,"""마이크임팩트스퀘어종로점""",2019.12.31,2018.12.31
3408,"""소모석유광장주유소""",2019.01.31,2018.01.31
3409,"""이티앤제우스불고기브라더스""",2019.05.01,2018.05.01
3410,"""중앙에너비스왕십리지점""",2020.10.16,2019.10.16
3411,"""씨스페이시스부평동아""",2021.11.30,2020.11.30
3412,"""씨스페이시스미아삼점""",2021.12.31,2020.12.31
3413,"""데일리굿푸드시스템(지점)""",2022.02.14,2021.02.14
3414,"""성대유통(부천지점)""",2022.05.01,2021.05.01
3415,"""마노핀익스프레스신림역점""",2020.06.30,2019.06.30
3416,"""오에스에너지주공셀프주유소""",2019.03.27,2018.03.27
3417,"""하모니리테일김포점""",2020.03.31,2019.03.31
3418,"""한솥강남역점""",2020.02.29,2019.02.28
3419,"""대양산업(주)대양울산충전소""",2020.12.31,2019.12.31
3420,"""아트박스건대점""",2020.01.17,2019.01.17
3421,"""제이에스""",2020.11.25,2019.11.25
3422,"""제스텍""",2018.12.31,2017.12.31
3423,"""거백""",2021.11.30,2020.11.30
3424,"""레이전트리제주""",2019.08.31,2018.08.31
3425,"""용당일반산업단지""",2021.12.31,2020.12.31
3426,"""스마트로직""",2021.05.31,2020.05.31
3427,"""아트박스홍대점""",2019.09.30,2018.09.30
3428,"""영농조합법인학사농장수완점""",2020.08.31,2019.08.31
3429,"""홀리카홀리카산본점""",2020.09.30,2019.09.30
3430,"""시몬느에프씨""",2019.06.30,2018.06.30
3431,"""씨스페이시스터미널점""",2020.06.30,2019.06.30
3432,"""씨스페이스유성봉명점""",2021.12.31,2020.12.31
3433,"""디지털프라자철원점""",2022.02.10,2021.02.10
3434,"""에듀윌""",2020.06.30,2019.06.30
3435,"""후지유통(주)분당점""",2021.03.31,2020.03.31
3436,"""홀리카홀리카(일산화정점)""",2020.03.31,2019.03.31
3437,"""홀리카홀리카(용인수지점)""",2019.03.31,2018.03.31
3438,"""호남산업(주)호남주유소""",2022.06.30,2021.06.30
3439,"""후지유통(주)성서점""",2019.06.30,2018.06.30
3440,"""씨스페이스(상인점)""",2021.11.30,2020.11.30
3441,"""엠에스씨""",2022.06.30,2021.06.30
3442,"""제주광어직판장""",2020.12.01,2019.12.01
3443,"""코니텍스""",2021.04.12,2020.04.12
3444,"""고척""",2021.12.15,2020.12.15
3445,"""케이에스엔그룹""",2020.10.08,2019.10.08
3446,"""비바로체""",2022.04.14,2021.04.14
3447,"""소나클로""",2022.05.23,2021.05.23
3448,"""감성디에스""",2020.06.30,2019.06.30
3449,"""감성디에스""",2019.06.25,2018.06.25
3450,"""승일메탈""",2021.12.07,2020.12.07
3451,"""우진미트상사""",2019.12.31,2018.12.31
3452,"""아이엠엔에스""",2021.08.10,2020.08.10
3453,"""신영제이티""",2021.05.31,2020.05.31
3454,"""이티엑스웍스""",2020.06.30,2019.06.30
3455,"""스튜디오매크로그래프""",2021.04.15,2020.04.15
3456,"""누보원""",2021.12.31,2020.12.31
3457,"""세화코스메틱""",2022.06.01,2021.06.01
3458,"""경북레미콘""",2022.03.05,2021.03.05
3459,"""승림산업""",2021.06.23,2020.06.23
3460,"""한양철강(주)제삼공장""",2020.07.23,2019.07.23
3461,"""잡키스트""",2020.07.31,2019.07.31
3462,"""경인아스콘""",2020.02.19,2019.02.19
3463,"""인즈시스템""",2021.01.08,2020.01.08
3464,"""유피텍""",2021.12.27,2020.12.27
3465,"""한국암코메탈""",2021.10.19,2020.10.19
3466,"""씨에스이""",2022.07.14,2021.07.14
3467,"""포엠""",2022.06.17,2021.06.17
3468,"""민성캐미칼판넬""",2022.05.19,2021.05.19
3469,"""팔로""",2021.04.30,2020.04.30
3470,"""에스제이코레""",2021.02.09,2020.02.09
3471,"""매니진""",2021.10.26,2020.10.26
3472,"""우림축산""",2022.04.13,2021.04.13
3473,"""진케어""",2020.12.31,2019.12.31
3474,"""녹색세상""",2020.12.31,2019.12.31
3475,"""삼양연마공업(주)포항직매장""",2020.06.01,2019.06.01
3476,"""수다커뮤니케이션""",2020.11.23,2019.11.23
3477,"""티에스포유""",2019.12.31,2018.12.31
3478,"""부림산업개발""",2021.09.16,2020.09.16
3479,"""유원전력조명""",2020.05.21,2019.05.21
3480,"""세라믹월드""",2020.10.30,2019.10.30
3481,"""한성엘시티엘리베이터""",2021.03.24,2020.03.24
3482,"""회명애쉬랜드(주)순천지점""",2018.06.30,2017.06.30
3483,"""회명애쉬랜드(주)울산지점""",2018.06.30,2017.06.30
3484,"""가람이앤씨(광주지점)""",2020.06.30,2019.06.30
3485,"""그린이엔지예산지점""",2019.01.17,2018.01.17
3486,"""선푸드(주)경북지사""",2021.01.31,2020.01.31
3487,"""성한종합건설""",2020.06.30,2019.06.30
3488,"""블루인더스""",2020.05.29,2019.05.29
3489,"""한소닉""",2020.08.26,2019.08.26
3490,"""가양김해지점""",2020.06.16,2019.06.16
3491,"""가양디자인""",2020.09.01,2019.09.01
3492,"""두성에코(주)포천지점""",2020.12.31,2019.12.31
3493,"""회명애쉬랜드(주)군산""",2018.05.10,2017.05.10
3494,"""정선레미콘광주공장""",2019.05.03,2018.05.03
3495,"""덕일기공""",2020.06.30,2019.06.30
3496,"""스타라이팅경북지사""",2022.01.05,2021.01.05
3497,"""더블유아이케이중부""",2019.09.25,2018.09.25
3498,"""아이에스티소프트""",2019.07.31,2018.07.31
3499,"""한국지케이엔""",2021.10.16,2020.10.16
3500,"""신일석재산업낭산장암지점""",2021.08.06,2020.08.06
3501,"""삼우주택""",2020.10.16,2019.10.16
3502,"""진명프리텍제이공장""",2018.12.31,2017.12.31
3503,"""솔리드이엔지대구지사""",2019.03.15,2018.03.15
3504,"""케이넷(주)청양공장""",2020.10.30,2019.10.30
3505,"""선푸드""",2021.01.31,2020.01.31
3506,"""효성건설""",2021.07.20,2020.07.20
3507,"""임영건설""",2021.06.30,2020.06.30
3508,"""강호조경""",2020.11.27,2019.11.27
3509,"""미래환경연구원""",2021.05.31,2020.05.31
3510,"""초지영농조합법인""",2020.06.25,2019.06.25
3511,"""시소아이티부산지사""",2020.09.10,2019.09.10
3512,"""와이비엘(지점)""",2020.09.02,2019.09.02
3513,"""로터스엔지니어링""",2021.04.15,2020.04.15
3514,"""에어릭스안성공장""",2022.06.30,2021.06.30
3515,"""이든씨앤아이""",2021.01.05,2020.01.05
3516,"""로이테크""",2021.08.04,2020.08.04
3517,"""기가이엔지""",2021.04.19,2020.04.19
3518,"""디에스티시스템""",2020.11.23,2019.11.23
3519,"""푸드팜인터내셔날""",2021.06.30,2020.06.30
3520,"""브이앤아이솔루션""",2020.09.29,2019.09.29
3521,"""그린바이오""",2022.05.31,2021.05.31
3522,"""큐""",2022.02.08,2021.02.08
3523,"""킨앤파트너스""",2021.06.30,2020.06.30
3524,"""노태그""",2022.06.30,2021.06.30
3525,"""케이엘피넷""",2022.06.30,2021.06.30
3526,"""영진정공""",2022.02.28,2021.02.28
3527,"""에쓰오솔라텍""",2021.02.28,2020.02.28
3528,"""엔오에프""",2021.07.14,2020.07.14
3529,"""에이치사이언스""",2021.03.23,2020.03.23
3530,"""케이시엠모터스""",2020.09.30,2019.09.30
3531,"""동암메디팜""",2021.09.30,2020.09.30
3532,"""쥬빌리브라이드""",2021.01.31,2020.01.31
3533,"""바로소프트""",2022.07.27,2021.07.27
3534,"""청명에너텍""",2021.12.31,2020.12.31
3535,"""엔트론씨앤씨""",2021.04.30,2020.04.30
3536,"""대덕바이오디자인""",2020.04.30,2019.04.30
3537,"""금창경판(주)한림공장""",2021.08.31,2020.08.31
3538,"""지엔에스쏠리텍화성공장""",2021.05.11,2020.05.11
3539,"""에쓰엘브이피에프브이""",2021.03.24,2020.03.24
3540,"""휘닉스커뮤니케이션즈""",2022.07.15,2021.07.15
3541,"""스타콜라보""",2020.10.31,2019.10.31
3542,"""원텍스""",2021.10.14,2020.10.14
3543,"""씨케이원""",2020.02.13,2019.02.13
3544,"""피앤이이노텍""",2021.01.12,2020.01.12
3545,"""세림종합건설""",2022.06.30,2021.06.30
3546,"""테크윈에너지""",2021.05.10,2020.05.10
3547,"""혜성산업개발""",2019.09.30,2018.09.30
3548,"""제이티건설""",2021.10.13,2020.10.13
3549,"""동원엠하우스""",2021.12.31,2020.12.31
3550,"""유앤에스에셋""",2020.10.31,2019.10.31
3551,"""전국장어마을""",2020.08.28,2019.08.28
3552,"""농업회사법인해광""",2021.12.31,2020.12.31
3553,"""마이크로발전소""",2020.12.30,2019.12.30
3554,"""디엠케이팩토리""",2021.01.28,2020.01.28
3555,"""지코디홀딩스""",2020.02.10,2019.02.10
3556,"""아다스트리아코리아""",2021.03.29,2020.03.29
3557,"""토쿠인터내셔날""",2021.12.31,2020.12.31
3558,"""에이앤디그룹""",2019.08.29,2018.08.29
3559,"""코크렙더프라임위탁관리부동산투자회사""",2018.12.05,2017.12.05
3560,"""씨에쓰인터내셔널""",2019.12.31,2018.12.31
3561,"""엠제이인터내셔날""",2021.03.31,2020.03.31
3562,"""아이폭스코리아""",2021.07.26,2020.07.26
3563,"""성심""",2021.12.31,2020.12.31
3564,"""웰니스업리서치""",2021.01.09,2020.01.09
3565,"""철수네""",2021.04.30,2020.04.30
3566,"""그리너스""",2021.09.30,2020.09.30
3567,"""가은테크""",2021.04.30,2020.04.30
3568,"""제이디사인""",2020.06.30,2019.06.30
3569,"""에코그린피아""",2021.12.02,2020.12.02
3570,"""호반""",2022.08.01,2021.08.01
3571,"""새론건설""",2021.12.13,2020.12.13
3572,"""한라라이트""",2020.06.16,2019.06.16
3573,"""진흥건설""",2022.04.05,2021.04.05
3574,"""태상녹산공장""",2019.06.30,2018.06.30
3575,"""한미상사동부지점""",2019.12.31,2018.12.31
3576,"""서울고속관광성남지점""",2020.01.31,2019.01.31
3577,"""미당푸드""",2019.06.30,2018.06.30
3578,"""경인환경에너지""",2019.06.30,2018.06.30
3579,"""신창테크전주지점""",2019.09.19,2018.09.19
3580,"""에프티이앤이""",2020.06.30,2019.06.30
3581,"""우전서울사무소""",2019.03.07,2018.03.07
3582,"""동해산업""",2020.12.24,2019.12.24
3583,"""님블게임즈""",2020.02.25,2019.02.25
3584,"""양우어패럴""",2021.06.08,2020.06.08
3585,"""서연시티""",2021.12.31,2020.12.31
3586,"""돈앤우에프씨""",2020.11.16,2019.11.16
3587,"""리오물류""",2021.07.07,2020.07.07
3588,"""삼우""",2020.12.24,2019.12.24
3589,"""아이웰""",2022.07.22,2021.07.22
3590,"""삼채나라진천삼채영농조합법인""",2020.08.31,2019.08.31
3591,"""부건""",2022.01.27,2021.01.27
3592,"""청진""",2021.09.07,2020.09.07
3593,"""화인에어텍""",2022.06.28,2021.06.28
3594,"""트리시아에셋""",2021.09.30,2020.09.30
3595,"""위너텍스""",2020.10.28,2019.10.28
3596,"""비앤아이""",2022.06.17,2021.06.17
3597,"""경영하이텍""",2021.10.27,2020.10.27
3598,"""대원이엔지""",2021.12.01,2020.12.01
3599,"""리오엘리서울지점""",2020.12.31,2019.12.31
3600,"""트라움종합건설""",2022.02.18,2021.02.18
3601,"""에스크""",2020.05.25,2019.05.25
3602,"""강산테크""",2022.03.18,2021.03.18
3603,"""보일호통상""",2021.11.12,2020.11.12
3604,"""네오메탈플러스""",2021.12.02,2020.12.02
3605,"""에스큐엘""",2021.08.02,2020.08.02
3606,"""제이알글로벌제1호위탁관리부동산투자회사""",2019.07.05,2018.07.05
3607,"""엘린팩토리""",2019.07.26,2018.07.26
3608,"""트루직""",2020.12.31,2019.12.31
3609,"""세이브텍""",2021.12.31,2020.12.31
3610,"""가포통상""",2020.12.31,2019.12.31
3611,"""우정특장""",2021.06.30,2020.06.30
3612,"""에스비스틸""",2022.07.15,2021.07.15
3613,"""세중산업""",2021.07.21,2020.07.21
3614,"""와와컴파니""",2021.06.24,2020.06.24
3615,"""송하테크""",2021.04.16,2020.04.16
3616,"""아이피엘""",2020.03.30,2019.03.30
3617,"""엔에이치엔여행박사""",2019.12.31,2018.12.31
3618,"""삼경커튼월""",2019.03.31,2018.03.31
3619,"""해비테크""",2020.10.26,2019.10.26
3620,"""코지엘이디""",2020.02.12,2019.02.12
3621,"""에스디자인""",2021.10.31,2020.10.31
3622,"""채움""",2020.04.06,2019.04.06
3623,"""미래에프에이""",2021.05.31,2020.05.31
3624,"""가우디""",2019.08.26,2018.08.26
3625,"""현동이엔지""",2021.09.30,2020.09.30
3626,"""룩엔""",2020.11.10,2019.11.10
3627,"""삼영화학공업(주)김해공장""",2020.07.31,2019.07.31
3628,"""에스엔씨""",2018.12.31,2017.12.31
3629,"""에스엔엠""",2018.12.31,2017.12.31
3630,"""해양기술이앤지전남지사""",2020.09.22,2019.09.22
3631,"""거산특수강진주공장""",2022.03.16,2021.03.16
3632,"""더에스앤에이치""",2019.10.15,2018.10.15
3633,"""지엔티테크놀러지""",2020.08.13,2019.08.13
3634,"""테라크라우드대부""",2022.07.08,2021.07.08
3635,"""온새미에프앤씨""",2020.06.30,2019.06.30
3636,"""드론프레스""",2020.07.01,2019.07.01
3637,"""씨유테크""",2021.07.13,2020.07.13
3638,"""올댓비즈제주""",2020.04.30,2019.04.30
3639,"""더컬러""",2020.03.31,2019.03.31
3640,"""모아에프엔에스""",2021.08.25,2020.08.25
3641,"""썬방역""",2021.10.14,2020.10.14
3642,"""준인베스트""",2022.06.29,2021.06.29
3643,"""애니팩지점""",2018.12.31,2017.12.31
3644,"""엔터큐브""",2020.05.30,2019.05.30
3645,"""케이플랜트""",2022.03.28,2021.03.28
3646,"""한서중공업""",2021.12.31,2020.12.31
3647,"""난쓰네에이치엔""",2020.04.07,2019.04.07
3648,"""월성전자""",2022.06.30,2021.06.30
3649,"""블루싸이언스""",2021.12.31,2020.12.31
3650,"""네비엔포항피씨공장""",2019.03.15,2018.03.15
3651,"""필넷코리아""",2020.12.31,2019.12.31
3652,"""아마다스""",2021.07.19,2020.07.19
3653,"""서우푸드""",2022.05.24,2021.05.24
3654,"""나인엠인터랙티브""",2021.12.03,2020.12.03
3655,"""신흥비철""",2021.05.31,2020.05.31
3656,"""화이트개발""",2020.09.01,2019.09.01
3657,"""디스플레이테크""",2022.04.01,2021.04.01
3658,"""제이엠멀티""",2021.03.31,2020.03.31
3659,"""비지에이치코리아군산호텔""",2021.06.08,2020.06.08
3660,"""엔도비전대구지점""",2019.07.31,2018.07.31
3661,"""범신사세종지사""",2020.03.31,2019.03.31
3662,"""한양자동차정비(주)인천공항자동차정""",2019.07.08,2018.07.08
3663,"""포나후렉스""",2021.09.30,2020.09.30
3664,"""영앤진회계법인인천지점""",2019.06.05,2018.06.05
3665,"""동진천안공장""",2019.08.02,2018.08.02
3666,"""링코제일여의도점""",2020.12.31,2019.12.31
3667,"""연호전자광주""",2021.07.30,2020.07.30
3668,"""연호전자첨단지점""",2020.07.27,2019.07.27
3669,"""리홈쿠첸""",2018.12.31,2017.12.31
3670,"""이레이커머스""",2020.06.10,2019.06.10
3671,"""다온에프엔비""",2021.07.10,2020.07.10
3672,"""마스턴제8호한국일보피에프브이""",2019.07.31,2018.07.31
3673,"""케이투비""",2019.12.30,2018.12.30
3674,"""코즈니""",2022.07.08,2021.07.08
3675,"""남경전기""",2022.06.28,2021.06.28
3676,"""보명""",2022.07.07,2021.07.07
3677,"""태인로지스틱스""",2022.05.26,2021.05.26
3678,"""디에스엠""",2020.03.31,2019.03.31
3679,"""켐코물산""",2021.12.10,2020.12.10
3680,"""농업회사법인금계""",2020.03.25,2019.03.25
3681,"""나로스베이커리""",2021.04.30,2020.04.30
3682,"""고센""",2020.03.31,2019.03.31
3683,"""에나인더스트리""",2019.09.23,2018.09.23
3684,"""도성개발천안지점""",2019.05.24,2018.05.24
3685,"""풍진건설김포지점""",2021.03.08,2020.03.08
3686,"""풍진건설김포지점""",2018.09.10,2017.09.10
3687,"""네비엔영천사업소""",2019.03.15,2018.03.15
3688,"""구어산업단지""",2022.06.30,2021.06.30
3689,"""새로닉스이공장""",2022.01.26,2021.01.26
3690,"""남산전기""",2021.01.31,2020.01.31
3691,"""주호데코""",2021.03.31,2020.03.31
3692,"""룩비""",2022.07.13,2021.07.13
3693,"""정글피플""",2020.03.31,2019.03.31
3694,"""베다니상사""",2020.11.09,2019.11.09
3695,"""멀티테크""",2020.06.22,2019.06.22
3696,"""삼보테크""",2021.03.30,2020.03.30
3697,"""수야펫코리아""",2021.12.31,2020.12.31
3698,"""가랑해운점""",2021.11.17,2020.11.17
3699,"""농업회사법인(유)콩마을""",2021.09.30,2020.09.30
3700,"""에이치엘비생명과학""",2021.03.31,2020.03.31
3701,"""율곡사천공장""",2019.12.31,2018.12.31
3702,"""세한에너지(주)제1공장""",2021.05.01,2020.05.01
3703,"""삼성기전""",2018.12.31,2017.12.31
3704,"""씨피케이코퍼레이션""",2022.03.09,2021.03.09
3705,"""에이치엔씨컴퍼니""",2021.08.12,2020.08.12
3706,"""서안""",2019.11.22,2018.11.22
3707,"""진푸드""",2021.02.23,2020.02.23
3708,"""씨앤아이인포""",2021.05.31,2020.05.31
3709,"""일신절연""",2021.07.31,2020.07.31
3710,"""유원개발""",2020.11.30,2019.11.30
3711,"""원경""",2021.07.31,2020.07.31
3712,"""동양잉크재료사업부""",2018.12.31,2017.12.31
3713,"""동양잉크서부""",2018.12.31,2017.12.31
3714,"""동양잉크영남""",2018.12.31,2017.12.31
3715,"""모비데이즈""",2022.05.18,2021.05.18
3716,"""강북상사""",2021.12.31,2020.12.31
3717,"""수지글로벌""",2022.04.11,2021.04.11
3718,"""한울경기지점""",2022.05.31,2021.05.31
3719,"""디시티엔터스""",2020.07.01,2019.07.01
3720,"""네비엔부여사업소""",2019.03.15,2018.03.15
3721,"""제임스통상""",2022.04.07,2021.04.07
3722,"""씨오티커넥티드""",2021.07.31,2020.07.31
3723,"""트니월드""",2021.08.31,2020.08.31
3724,"""케이리얼티제6호위탁관리부동산투자회사""",2021.08.31,2020.08.31
3725,"""셰익스피어앤드컴퍼니""",2020.12.31,2019.12.31
3726,"""공간에이앤아이""",2020.05.12,2019.05.12
3727,"""이지켐""",2020.02.17,2019.02.17
3728,"""해피푸드""",2020.12.31,2019.12.31
3729,"""엠케이알오케이""",2020.02.14,2019.02.14
3730,"""희망임대주택제3호위탁관리부동산투자회사""",2021.02.26,2020.02.26
3731,"""천명푸드""",2020.12.31,2019.12.31
3732,"""와이제이개발""",2022.01.18,2021.01.18
3733,"""농업회사법인함초원""",2022.06.01,2021.06.01
3734,"""케이케이이엔지""",2022.01.28,2021.01.28
3735,"""제이더블유엠지점""",2021.01.26,2020.01.26
3736,"""서대구에너지성주지점제1공장""",2020.11.09,2019.11.09
3737,"""애드포스인사이트""",2021.09.16,2020.09.16
3738,"""엠스퀘어피에프브이""",2022.02.10,2021.02.10
3739,"""대은""",2022.06.16,2021.06.16
3740,"""미디어스트림""",2022.06.30,2021.06.30
3741,"""디앤티""",2021.10.11,2020.10.11
3742,"""알토""",2020.07.09,2019.07.09
3743,"""다린보은공장""",2021.01.05,2020.01.05
3744,"""신신상사""",2019.01.31,2018.01.31
3745,"""케미메디""",2020.12.15,2019.12.15
3746,"""유진전시공간""",2021.12.31,2020.12.31
3747,"""케이비와이즈스타제7호기업구조조정부동산투자회사""",2021.09.15,2020.09.15
3748,"""도원하우징""",2021.01.27,2020.01.27
3749,"""신두레산업""",2021.02.01,2020.02.01
3750,"""스토닉스""",2020.12.28,2019.12.28
3751,"""도로시""",2022.05.31,2021.05.31
3752,"""이노비전""",2020.06.30,2019.06.30
3753,"""엠제이디""",2021.08.09,2020.08.09
3754,"""감자화인켐""",2020.04.30,2019.04.30
3755,"""감자화인켐""",2020.04.30,2019.04.30
3756,"""영통프로젝트""",2020.11.06,2019.11.06
3757,"""디에스디기흥산단개발""",2020.09.10,2019.09.10
3758,"""뷰시스""",2021.10.31,2020.10.31
3759,"""영진식품""",2021.07.01,2020.07.01
3760,"""에스비아이""",2021.01.08,2020.01.08
3761,"""동주메디컬""",2020.12.31,2019.12.31
3762,"""우리농수산""",2021.04.30,2020.04.30
3763,"""보림여수지점""",2020.06.30,2019.06.30
3764,"""이마린""",2022.03.17,2021.03.17
3765,"""레드스톤시스템세종지점""",2018.12.31,2017.12.31
3766,"""티앤제이건설(주)남원지사""",2021.06.01,2020.06.01
3767,"""삼덕회계법인""",2020.06.30,2019.06.30
3768,"""노랑풍선대구지사""",2019.12.20,2018.12.20
3769,"""넥슨레드""",2020.02.28,2019.02.28
3770,"""알티이테크놀러지""",2021.07.08,2020.07.08
3771,"""미래엠씨종합건설""",2022.06.21,2021.06.21
3772,"""대길산업개발""",2022.03.31,2021.03.31
3773,"""메이웰""",2020.11.30,2019.11.30
3774,"""케이라인""",2022.07.28,2021.07.28
3775,"""화신기공""",2020.06.10,2019.06.10
3776,"""올랩""",2020.12.22,2019.12.22
3777,"""로뎀퍼니처""",2022.01.05,2021.01.05
3778,"""상우정보통신""",2021.05.11,2020.05.11
3779,"""일조기업""",2021.06.30,2020.06.30
3780,"""지평건축사사무소""",2020.02.29,2019.02.28
3781,"""미즈""",2022.02.09,2021.02.09
3782,"""신탄할인마트""",2022.04.01,2021.04.01
3783,"""디앤제이""",2020.07.17,2019.07.17
3784,"""미다스""",2020.12.15,2019.12.15
3785,"""미원""",2021.12.31,2020.12.31
3786,"""농업회사법인코아""",2022.03.07,2021.03.07
3787,"""유니트산업""",2020.11.25,2019.11.25
3788,"""에이디애니메이션""",2020.04.03,2019.04.03
3789,"""생보제사호위탁관리부동산투자회사""",2019.12.30,2018.12.30
3790,"""나라텍""",2020.06.30,2019.06.30
3791,"""이천디씨이차기업구조조정부동산투자회사""",2022.03.08,2021.03.08
3792,"""티알스마크""",2022.04.22,2021.04.22
3793,"""제이와이피글로벌""",2019.12.31,2018.12.31
3794,"""우영인더스트리""",2020.08.12,2019.08.12
3795,"""동현이앤씨""",2021.08.26,2020.08.26
3796,"""스마일전력""",2020.06.20,2019.06.20
3797,"""해모수""",2020.06.30,2019.06.30
3798,"""와이드뷰""",2021.03.02,2020.03.02
3799,"""청명아트텍""",2022.06.30,2021.06.30
3800,"""한국오가닉팜""",2021.09.23,2020.09.23
3801,"""에스제이피앤피""",2022.03.31,2021.03.31
3802,"""케이씨크린트래이딩""",2020.09.21,2019.09.21
3803,"""청운디자인그룹""",2020.06.22,2019.06.22
3804,"""아트로""",2021.09.30,2020.09.30
3805,"""우진인솔""",2022.04.28,2021.04.28
3806,"""더제이투시스템""",2022.01.30,2021.01.30
3807,"""영수산업개발""",2020.06.30,2019.06.30
3808,"""남명""",2020.12.31,2019.12.31
3809,"""에이비온바이오메드""",2019.08.30,2018.08.30
3810,"""두남전력하늘빌""",2022.06.30,2021.06.30
3811,"""씨티레져산업""",2022.06.30,2021.06.30
3812,"""디유닛""",2022.05.11,2021.05.11
3813,"""대영에스에프""",2021.06.30,2020.06.30
